ID,Description_en,VulnStatus,Published,LastModified,WeaknessSource,WeaknessValue,CVSS_Source_v31,CVSS_Vector_v31,CVSS_BaseScore,CVSS_BaseSeverity,ShortName,Group_Label
CVE-2023-33135,.net and visual studio elevation of privilege vulnerability,Modified,2023-06-14,2024-11-21,secure@microsoft.com,,secure@microsoft.com,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,7.3,HIGH,Microsoft,G_I_CNA_Microsoft_Group1
CVE-2023-33135,.net and visual studio elevation of privilege vulnerability,Modified,2023-06-14,2024-11-21,nvd@nist.gov,NVD-CWE-noinfo,nvd@nist.gov,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,7.3,HIGH,NVD,G_I_NVD_Microsoft_Group1
CVE-2023-32032,.net and visual studio elevation of privilege vulnerability,Modified,2023-06-14,2024-11-21,secure@microsoft.com,CWE-20,secure@microsoft.com,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:L/I:H/A:H,6.5,MEDIUM,Microsoft,G_I_CNA_Microsoft_Group1
CVE-2023-33127,.net and visual studio elevation of privilege vulnerability,Modified,2023-07-11,2024-11-21,secure@microsoft.com,CWE-1220,secure@microsoft.com,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,HIGH,Microsoft,G_I_CNA_Microsoft_Group1
CVE-2021-31204,.net and visual studio elevation of privilege vulnerability,Modified,2021-05-11,2024-11-21,secure@microsoft.com,,secure@microsoft.com,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,7.3,HIGH,Microsoft,G_I_CNA_Microsoft_Group1
CVE-2021-31204,.net and visual studio elevation of privilege vulnerability,Modified,2021-05-11,2024-11-21,nvd@nist.gov,NVD-CWE-noinfo,nvd@nist.gov,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.8,HIGH,NVD,G_I_NVD_Microsoft_Group1
CVE-2022-38013,.net core and visual studio denial of service vulnerability,Modified,2022-09-13,2025-01-02,secure@microsoft.com,,secure@microsoft.com,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,HIGH,Microsoft,G_I_CNA_Microsoft_Group2
CVE-2023-38178,.net core and visual studio denial of service vulnerability,Modified,2023-08-08,2024-11-21,secure@microsoft.com,CWE-400,secure@microsoft.com,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,HIGH,Microsoft,G_I_CNA_Microsoft_Group2
CVE-2023-36799,.net core and visual studio denial of service vulnerability,Modified,2023-09-12,2024-11-21,secure@microsoft.com,CWE-400,secure@microsoft.com,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,6.5,MEDIUM,Microsoft,G_I_CNA_Microsoft_Group2
CVE-2021-1721,.net core and visual studio denial of service vulnerability,Modified,2021-02-25,2024-11-21,secure@microsoft.com,,secure@microsoft.com,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,6.5,MEDIUM,Microsoft,G_I_CNA_Microsoft_Group2
CVE-2021-1721,.net core and visual studio denial of service vulnerability,Modified,2021-02-25,2024-11-21,nvd@nist.gov,NVD-CWE-noinfo,nvd@nist.gov,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,6.5,MEDIUM,NVD,G_I_NVD_Microsoft_Group2
CVE-2021-26423,.net core and visual studio denial of service vulnerability,Modified,2021-08-12,2024-11-21,secure@microsoft.com,,secure@microsoft.com,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,HIGH,Microsoft,G_I_CNA_Microsoft_Group2
CVE-2021-26423,.net core and visual studio denial of service vulnerability,Modified,2021-08-12,2024-11-21,nvd@nist.gov,NVD-CWE-noinfo,nvd@nist.gov,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,HIGH,NVD,G_I_NVD_Microsoft_Group2
CVE-2021-34485,.net core and visual studio information disclosure vulnerability,Modified,2021-08-12,2024-11-21,secure@microsoft.com,,secure@microsoft.com,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:N/A:N,5.0,MEDIUM,Microsoft,G_I_CNA_Microsoft_Group3
CVE-2021-34485,.net core and visual studio information disclosure vulnerability,Modified,2021-08-12,2024-11-21,nvd@nist.gov,NVD-CWE-noinfo,nvd@nist.gov,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,5.5,MEDIUM,NVD,G_I_NVD_Microsoft_Group3
CVE-2021-41355,.net core and visual studio information disclosure vulnerability,Modified,2021-10-13,2024-11-21,secure@microsoft.com,,secure@microsoft.com,CVSS:3.1/AV:A/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,5.7,MEDIUM,Microsoft,G_I_CNA_Microsoft_Group3
CVE-2021-41355,.net core and visual studio information disclosure vulnerability,Modified,2021-10-13,2024-11-21,nvd@nist.gov,NVD-CWE-noinfo,nvd@nist.gov,CVSS:3.1/AV:A/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,5.7,MEDIUM,NVD,G_I_NVD_Microsoft_Group3
CVE-2021-24112,.net core remote code execution vulnerability,Modified,2021-02-25,2024-11-21,secure@microsoft.com,,secure@microsoft.com,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,HIGH,Microsoft,G_C_CNA_Microsoft_Group4
CVE-2021-24112,.net core remote code execution vulnerability,Modified,2021-02-25,2024-11-21,nvd@nist.gov,NVD-CWE-noinfo,nvd@nist.gov,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NVD,G_C_NVD_Microsoft_Group4
CVE-2021-26701,.net core remote code execution vulnerability,Modified,2021-02-25,2024-11-21,secure@microsoft.com,,secure@microsoft.com,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,HIGH,Microsoft,G_C_CNA_Microsoft_Group4
CVE-2021-26701,.net core remote code execution vulnerability,Modified,2021-02-25,2024-11-21,nvd@nist.gov,NVD-CWE-noinfo,nvd@nist.gov,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NVD,G_C_NVD_Microsoft_Group4
CVE-2022-30130,.net framework denial of service vulnerability,Modified,2022-05-10,2024-11-21,secure@microsoft.com,,secure@microsoft.com,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:L,3.3,LOW,Microsoft,G_I_CNA_Microsoft_Group5
CVE-2022-30130,.net framework denial of service vulnerability,Modified,2022-05-10,2024-11-21,nvd@nist.gov,NVD-CWE-noinfo,nvd@nist.gov,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,5.5,MEDIUM,NVD,G_I_NVD_Microsoft_Group5
CVE-2023-21722,.net framework denial of service vulnerability,Modified,2023-02-14,2024-11-21,secure@microsoft.com,CWE-59,secure@microsoft.com,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:N/I:N/A:H,5.0,MEDIUM,Microsoft,G_I_CNA_Microsoft_Group5
CVE-2023-21722,.net framework denial of service vulnerability,Modified,2023-02-14,2024-11-21,nvd@nist.gov,NVD-CWE-noinfo,nvd@nist.gov,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:N/I:N/A:H,5.0,MEDIUM,NVD,G_I_NVD_Microsoft_Group5
CVE-2022-21911,.net framework denial of service vulnerability,Modified,2022-01-11,2024-11-21,secure@microsoft.com,,secure@microsoft.com,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,HIGH,Microsoft,G_I_CNA_Microsoft_Group5
CVE-2022-26832,.net framework denial of service vulnerability,Modified,2022-04-15,2025-01-02,secure@microsoft.com,,secure@microsoft.com,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,HIGH,Microsoft,G_I_CNA_Microsoft_Group5
CVE-2024-21312,.net framework denial of service vulnerability,Modified,2024-01-09,2024-11-21,secure@microsoft.com,CWE-20,secure@microsoft.com,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,HIGH,Microsoft,G_I_CNA_Microsoft_Group5
CVE-2021-24111,.net framework denial of service vulnerability,Modified,2021-02-25,2024-11-21,secure@microsoft.com,,secure@microsoft.com,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,HIGH,Microsoft,G_I_CNA_Microsoft_Group5
CVE-2021-24111,.net framework denial of service vulnerability,Modified,2021-02-25,2024-11-21,nvd@nist.gov,NVD-CWE-noinfo,nvd@nist.gov,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,HIGH,NVD,G_I_NVD_Microsoft_Group5
CVE-2023-36049,".net, .net framework, and visual studio elevation of privilege vulnerability",Modified,2023-11-14,2024-11-21,secure@microsoft.com,CWE-20,secure@microsoft.com,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:H/A:L,7.6,HIGH,Microsoft,G_I_CNA_Microsoft_Group6
CVE-2023-36049,".net, .net framework, and visual studio elevation of privilege vulnerability",Modified,2023-11-14,2024-11-21,nvd@nist.gov,NVD-CWE-noinfo,nvd@nist.gov,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NVD,G_I_NVD_Microsoft_Group6
CVE-2023-24936,".net, .net framework, and visual studio elevation of privilege vulnerability",Modified,2023-06-14,2024-11-21,secure@microsoft.com,,secure@microsoft.com,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,7.5,HIGH,Microsoft,G_I_CNA_Microsoft_Group6
CVE-2023-24936,".net, .net framework, and visual studio elevation of privilege vulnerability",Modified,2023-06-14,2024-11-21,nvd@nist.gov,NVD-CWE-noinfo,nvd@nist.gov,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,7.5,HIGH,NVD,G_I_NVD_Microsoft_Group6
CVE-2024-38081,".net, .net framework, and visual studio elevation of privilege vulnerability",Modified,2024-07-09,2024-11-21,secure@microsoft.com,CWE-59,secure@microsoft.com,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,7.3,HIGH,Microsoft,G_I_CNA_Microsoft_Group6
CVE-2021-31943,3d viewer remote code execution vulnerability,Modified,2021-06-08,2024-11-21,secure@microsoft.com,,secure@microsoft.com,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,Microsoft,G_C_CNA_Microsoft_Group7
CVE-2021-31943,3d viewer remote code execution vulnerability,Modified,2021-06-08,2024-11-21,nvd@nist.gov,NVD-CWE-noinfo,nvd@nist.gov,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,NVD,G_C_NVD_Microsoft_Group7
CVE-2021-31942,3d viewer remote code execution vulnerability,Modified,2021-06-08,2024-11-21,secure@microsoft.com,,secure@microsoft.com,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,Microsoft,G_C_CNA_Microsoft_Group7
CVE-2021-31942,3d viewer remote code execution vulnerability,Modified,2021-06-08,2024-11-21,nvd@nist.gov,NVD-CWE-noinfo,nvd@nist.gov,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,NVD,G_C_NVD_Microsoft_Group7
CVE-2023-36739,3d viewer remote code execution vulnerability,Modified,2023-09-12,2024-11-21,secure@microsoft.com,CWE-122,secure@microsoft.com,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,Microsoft,G_C_CNA_Microsoft_Group7
CVE-2023-36740,3d viewer remote code execution vulnerability,Modified,2023-09-12,2024-11-21,secure@microsoft.com,CWE-122,secure@microsoft.com,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,Microsoft,G_C_CNA_Microsoft_Group7
CVE-2023-36760,3d viewer remote code execution vulnerability,Modified,2023-09-12,2024-11-21,secure@microsoft.com,CWE-416,secure@microsoft.com,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,Microsoft,G_C_CNA_Microsoft_Group7
CVE-2021-43209,3d viewer remote code execution vulnerability,Modified,2021-11-10,2024-11-21,secure@microsoft.com,,secure@microsoft.com,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,Microsoft,G_C_CNA_Microsoft_Group7
CVE-2021-43209,3d viewer remote code execution vulnerability,Modified,2021-11-10,2024-11-21,nvd@nist.gov,NVD-CWE-noinfo,nvd@nist.gov,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,NVD,G_C_NVD_Microsoft_Group7
CVE-2021-43208,3d viewer remote code execution vulnerability,Modified,2021-11-10,2024-11-21,secure@microsoft.com,,secure@microsoft.com,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,Microsoft,G_C_CNA_Microsoft_Group7
CVE-2021-43208,3d viewer remote code execution vulnerability,Modified,2021-11-10,2024-11-21,nvd@nist.gov,CWE-94,nvd@nist.gov,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,NVD,G_C_NVD_Microsoft_Group7
CVE-2020-16859,"<p>a cross site scripting vulnerability exists when microsoft dynamics 365 (on-premises) does not properly sanitize a specially crafted web request to an affected dynamics server. an authenticated attacker could exploit the vulnerability by sending a specially crafted request to an affected dynamics server.</p> <p>the attacker who successfully exploited the vulnerability could then perform cross-site scripting attacks on affected systems and run script in the security context of the current authenticated user. these attacks could allow the attacker to read content that the attacker is not authorized to read, use the victim's identity to take actions within dynamics server on behalf of the user, such as change permissions and delete content, and inject malicious content in the browser of the user.</p> <p>the security update addresses the vulnerability by helping to ensure that dynamics server properly sanitizes web requests.</p>",Modified,2020-09-11,2024-11-21,secure@microsoft.com,,secure@microsoft.com,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,5.4,MEDIUM,Microsoft,G_I_CNA_Microsoft_Group8
CVE-2020-16859,"<p>a cross site scripting vulnerability exists when microsoft dynamics 365 (on-premises) does not properly sanitize a specially crafted web request to an affected dynamics server. an authenticated attacker could exploit the vulnerability by sending a specially crafted request to an affected dynamics server.</p> <p>the attacker who successfully exploited the vulnerability could then perform cross-site scripting attacks on affected systems and run script in the security context of the current authenticated user. these attacks could allow the attacker to read content that the attacker is not authorized to read, use the victim's identity to take actions within dynamics server on behalf of the user, such as change permissions and delete content, and inject malicious content in the browser of the user.</p> <p>the security update addresses the vulnerability by helping to ensure that dynamics server properly sanitizes web requests.</p>",Modified,2020-09-11,2024-11-21,nvd@nist.gov,CWE-79,nvd@nist.gov,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,5.4,MEDIUM,NVD,G_C_NVD_Microsoft_Group8
CVE-2020-16858,"<p>a cross site scripting vulnerability exists when microsoft dynamics 365 (on-premises) does not properly sanitize a specially crafted web request to an affected dynamics server. an authenticated attacker could exploit the vulnerability by sending a specially crafted request to an affected dynamics server.</p> <p>the attacker who successfully exploited the vulnerability could then perform cross-site scripting attacks on affected systems and run script in the security context of the current authenticated user. these attacks could allow the attacker to read content that the attacker is not authorized to read, use the victim's identity to take actions within dynamics server on behalf of the user, such as change permissions and delete content, and inject malicious content in the browser of the user.</p> <p>the security update addresses the vulnerability by helping to ensure that dynamics server properly sanitizes web requests.</p>",Modified,2020-09-11,2024-11-21,secure@microsoft.com,,secure@microsoft.com,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,5.4,MEDIUM,Microsoft,G_I_CNA_Microsoft_Group8
