ShortName,Counts,Compare_Count,inconsistent vector,d (median),AV_Diff,AV_PMDC,AC_Diff,AC_PMDC,PR_Diff,PR_PMDC,UI_Diff,UI_PMDC,S_Diff,S_PMDC,C_Diff,C_PMDC,I_Diff,I_PMDC,A_Diff,A_PMDC
GitHub,6592,5441,3622,1,239,0.0439,1234,0.2268,862,0.1584,717,0.1318,1275,0.2343,1211,0.2226,1225,0.2251,1322,0.243
MITRE,1160,1011,730,1,196,0.1939,153,0.1513,154,0.1523,129,0.1276,353,0.3492,184,0.182,216,0.2136,218,0.2156
Patchstack,7985,3601,3250,1,0,0.0,114,0.0317,153,0.0425,40,0.0111,341,0.0947,1091,0.303,1166,0.3238,2828,0.7853
Wordfence,5172,2132,1478,1,2,0.0009,161,0.0755,62,0.0291,957,0.4489,130,0.061,193,0.0905,204,0.0957,282,0.1323
CISA-ADP,11569,4860,1248,0,345,0.071,169,0.0348,538,0.1107,287,0.0591,136,0.028,362,0.0745,305,0.0628,356,0.0733
Hitachi,43,33,28,2,2,0.0606,6,0.1818,5,0.1515,2,0.0606,6,0.1818,12,0.3636,17,0.5152,13,0.3939
MongoDB,63,54,29,1,5,0.0926,13,0.2407,8,0.1481,15,0.2778,4,0.0741,6,0.1111,7,0.1296,5,0.0926
INCIBE,559,384,297,1,20,0.0521,16,0.0417,68,0.1771,25,0.0651,99,0.2578,98,0.2552,94,0.2448,140,0.3646
OTRS,70,62,52,1,4,0.0645,7,0.1129,20,0.3226,29,0.4677,14,0.2258,9,0.1452,13,0.2097,6,0.0968
VulDB,5884,4742,4351,3,494,0.1042,121,0.0255,2309,0.4869,106,0.0224,1116,0.2353,3896,0.8216,2709,0.5713,2870,0.6052
Intel,759,540,471,2,1,0.0019,271,0.5019,52,0.0963,210,0.3889,167,0.3093,94,0.1741,69,0.1278,96,0.1778
Open-Xchange,61,46,20,0,8,0.1739,8,0.1739,10,0.2174,1,0.0217,14,0.3043,2,0.0435,3,0.0652,6,0.1304
TWCERT/CC,614,254,86,0,5,0.0197,18,0.0709,11,0.0433,9,0.0354,29,0.1142,19,0.0748,28,0.1102,29,0.1142
SAP,344,256,122,0,6,0.0234,39,0.1523,27,0.1055,18,0.0703,57,0.2227,20,0.0781,16,0.0625,18,0.0703
Snyk,653,547,356,1,16,0.0293,125,0.2285,44,0.0804,32,0.0585,62,0.1133,153,0.2797,153,0.2797,184,0.3364
Siemens,707,491,209,0,26,0.053,48,0.0978,58,0.1181,18,0.0367,51,0.1039,55,0.112,45,0.0916,71,0.1446
Adobe,2119,637,126,0,7,0.011,17,0.0267,11,0.0173,8,0.0126,47,0.0738,44,0.0691,42,0.0659,51,0.0801
Gallagher,50,37,26,1,1,0.027,3,0.0811,4,0.1081,1,0.027,6,0.1622,6,0.1622,15,0.4054,12,0.3243
Octopus,12,3,3,3,0,0.0,1,0.3333,1,0.3333,2,0.6667,0,0.0,2,0.6667,2,0.6667,2,0.6667
Hitachi Vantara,28,26,18,1,0,0.0,1,0.0385,5,0.1923,2,0.0769,4,0.1538,7,0.2692,8,0.3077,8,0.3077
QNAP,220,193,146,2,6,0.0311,35,0.1813,20,0.1036,18,0.0933,65,0.3368,94,0.487,96,0.4974,83,0.4301
Lenovo,301,216,99,0,12,0.0556,24,0.1111,32,0.1481,19,0.088,4,0.0185,19,0.088,18,0.0833,21,0.0972
Silicon Labs,77,41,33,1,9,0.2195,14,0.3415,14,0.3415,1,0.0244,8,0.1951,8,0.1951,3,0.0732,5,0.122
Red Hat,709,512,241,0,13,0.0254,80,0.1562,76,0.1484,33,0.0645,42,0.082,40,0.0781,55,0.1074,48,0.0938
IBM,1102,840,554,1,56,0.0667,219,0.2607,234,0.2786,48,0.0571,53,0.0631,132,0.1571,105,0.125,103,0.1226
ASRG,50,45,21,0,3,0.0667,7,0.1556,2,0.0444,3,0.0667,10,0.2222,6,0.1333,6,0.1333,6,0.1333
Cisco,2183,1757,745,0,42,0.0239,102,0.0581,120,0.0683,81,0.0461,228,0.1298,232,0.132,200,0.1138,301,0.1713
Trellix,246,232,167,1,19,0.0819,46,0.1983,30,0.1293,57,0.2457,82,0.3534,57,0.2457,35,0.1509,33,0.1422
wolfSSL,11,5,4,2,1,0.2,3,0.6,2,0.4,1,0.2,1,0.2,0,0.0,1,0.2,2,0.4
HashiCorp,57,42,32,2,2,0.0476,6,0.1429,19,0.4524,8,0.1905,19,0.4524,11,0.2619,6,0.1429,7,0.1667
HCL,215,151,139,2,26,0.1722,51,0.3377,38,0.2517,45,0.298,41,0.2715,57,0.3775,63,0.4172,51,0.3377
CERT@VDE,398,207,45,0,3,0.0145,9,0.0435,15,0.0725,8,0.0386,13,0.0628,13,0.0628,11,0.0531,9,0.0435
TeamViewer,17,10,7,2,0,0.0,1,0.1,4,0.4,1,0.1,4,0.4,1,0.1,1,0.1,2,0.2
CISA U.S. CG,37,17,7,0,1,0.0588,1,0.0588,0,0.0,0,0.0,1,0.0588,3,0.1765,4,0.2353,4,0.2353
Mattermost,224,183,132,1,4,0.0219,54,0.2951,50,0.2732,20,0.1093,15,0.082,41,0.224,27,0.1475,59,0.3224
PostgreSQL,17,3,2,1,0,0.0,1,0.3333,0,0.0,0,0.0,1,0.3333,0,0.0,0,0.0,0,0.0
HP,9,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SUSE,138,120,80,1,8,0.0667,15,0.125,49,0.4083,10,0.0833,12,0.1,11,0.0917,22,0.1833,39,0.325
HeroDevs,9,3,3,3,0,0.0,3,1.0,0,0.0,2,0.6667,1,0.3333,1,0.3333,1,0.3333,2,0.6667
Canonical,164,137,94,1,1,0.0073,22,0.1606,24,0.1752,11,0.0803,52,0.3796,28,0.2044,20,0.146,26,0.1898
ABB,169,126,68,1,14,0.1111,17,0.1349,15,0.119,15,0.119,21,0.1667,17,0.1349,23,0.1825,24,0.1905
F5,188,158,50,0,3,0.019,21,0.1329,13,0.0823,2,0.0127,7,0.0443,15,0.0949,13,0.0823,16,0.1013
Dassault,39,22,15,2,1,0.0455,4,0.1818,3,0.1364,0,0.0,5,0.2273,8,0.3636,8,0.3636,1,0.0455
Microchip,2,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
INCD,213,169,115,1,45,0.2663,11,0.0651,58,0.3432,32,0.1893,26,0.1538,58,0.3432,55,0.3254,70,0.4142
Milestone,2,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Pure Storage,12,11,10,1,0,0.0,1,0.0909,2,0.1818,0,0.0,7,0.6364,0,0.0,1,0.0909,5,0.4545
BlackBerry,15,8,4,0,0,0.0,0,0.0,2,0.25,0,0.0,1,0.125,3,0.375,1,0.125,0,0.0
Solidigm,9,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Samsung Mobile,949,872,767,2,97,0.1112,155,0.1778,452,0.5183,132,0.1514,102,0.117,259,0.297,281,0.3222,320,0.367
Schneider Electric,189,161,78,0,7,0.0435,18,0.1118,21,0.1304,21,0.1304,7,0.0435,16,0.0994,25,0.1553,26,0.1615
ICS-CERT,1177,1073,582,1,92,0.0857,90,0.0839,143,0.1333,123,0.1146,183,0.1705,205,0.1911,208,0.1938,184,0.1715
Zohocorp,55,39,33,1,0,0.0,0,0.0,1,0.0256,3,0.0769,3,0.0769,4,0.1026,5,0.1282,29,0.7436
Fluid Attacks,174,92,41,0,0,0.0,9,0.0978,18,0.1957,8,0.087,18,0.1957,14,0.1522,13,0.1413,9,0.0978
HPE,310,223,102,0,6,0.0269,23,0.1031,56,0.2511,12,0.0538,20,0.0897,27,0.1211,27,0.1211,29,0.13
NVIDIA,366,296,171,1,20,0.0676,61,0.2061,54,0.1824,27,0.0912,46,0.1554,42,0.1419,30,0.1014,34,0.1149
NortonLifeLock,15,14,14,2,3,0.2143,8,0.5714,5,0.3571,3,0.2143,2,0.1429,5,0.3571,2,0.1429,3,0.2143
cirosec,6,2,2,2,0,0.0,1,0.5,1,0.5,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0
AMD,54,36,28,1,7,0.1944,15,0.4167,10,0.2778,5,0.1389,12,0.3333,7,0.1944,6,0.1667,7,0.1944
Microsoft,4605,1905,702,0,96,0.0504,183,0.0961,205,0.1076,129,0.0677,111,0.0583,171,0.0898,177,0.0929,198,0.1039
Ericsson,6,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
VMware,136,68,39,1,0,0.0,11,0.1618,10,0.1471,4,0.0588,7,0.1029,9,0.1324,8,0.1176,17,0.25
Grafana Labs,22,18,17,2,0,0.0,5,0.2778,6,0.3333,4,0.2222,8,0.4444,5,0.2778,7,0.3889,3,0.1667
STAR Labs SG,34,33,15,0,3,0.0909,3,0.0909,4,0.1212,1,0.0303,5,0.1515,4,0.1212,3,0.0909,3,0.0909
AMI,34,30,26,2,9,0.3,13,0.4333,15,0.5,5,0.1667,15,0.5,0,0.0,0,0.0,2,0.0667
Xerox,13,4,4,4,4,1.0,4,1.0,2,0.5,0,0.0,4,1.0,0,0.0,0,0.0,0,0.0
Oracle,2128,335,4,0,0,0.0,2,0.006,1,0.003,0,0.0,1,0.003,0,0.0,0,0.0,1,0.003
NLnet Labs,9,5,1,0,0,0.0,0,0.0,1,0.2,1,0.2,1,0.2,1,0.2,1,0.2,1,0.2
Nozomi,144,89,69,1,1,0.0112,5,0.0562,4,0.0449,6,0.0674,12,0.1348,34,0.382,9,0.1011,52,0.5843
SolarWinds,147,130,72,1,54,0.4154,16,0.1231,5,0.0385,6,0.0462,28,0.2154,16,0.1231,11,0.0846,20,0.1538
