ID,ShortName,AV_Diff,AC_Diff,PR_Diff,UI_Diff,S_Diff,C_Diff,I_Diff,A_Diff,Hamming_Distance
CVE-1999-1568,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2001-1125,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2001-1546,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2002-0051,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2002-0391,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2002-0485,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2002-1372,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2002-1657,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2002-1796,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2002-1816,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2002-1975,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2003-5001,IBM,0,0,0,0,0,1,1,1,3
CVE-2003-5002,IBM,0,1,0,0,0,0,0,0,1
CVE-2003-5003,IBM,0,1,0,0,1,0,0,1,3
CVE-2004-0079,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2004-0458,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2004-0747,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2004-1901,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2004-2154,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2005-10001,VulDB,0,0,0,0,1,0,0,0,1
CVE-2005-10002,VulDB,1,0,1,0,0,1,1,1,5
CVE-2005-10003,VulDB,0,1,0,0,0,1,1,1,4
CVE-2005-1674,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2005-2103,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2005-3106,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2005-4206,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2006-10001,VulDB,0,0,0,0,1,1,0,0,2
CVE-2006-4574,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2007-10001,VulDB,1,0,1,0,0,1,0,0,3
CVE-2007-10002,VulDB,0,0,0,0,0,1,1,1,3
CVE-2007-10003,VulDB,0,0,0,0,0,1,1,1,3
CVE-2007-3409,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2007-3798,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2007-4786,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2008-0081,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2008-10001,VulDB,0,0,1,0,1,0,0,1,3
CVE-2008-10002,VulDB,0,0,1,0,1,1,0,0,3
CVE-2008-10003,VulDB,0,0,1,0,0,1,1,1,4
CVE-2008-10004,VulDB,0,0,1,0,0,1,1,1,4
CVE-2008-3282,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2008-3775,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2008-4929,CISA-ADP,0,0,0,0,0,0,0,0,0
CVE-2008-7109,CISA-ADP,0,0,0,0,0,0,0,0,0
