ShortName,Counts,Compare_Count,inconsistent vector,d (median),AV_Diff,AV_PMDC,AC_Diff,AC_PMDC,PR_Diff,PR_PMDC,UI_Diff,UI_PMDC,S_Diff,S_PMDC,C_Diff,C_PMDC,I_Diff,I_PMDC,A_Diff,A_PMDC,G_I_CNA,G_C_CNA,G_I_NVD,G_C_NVD,Odds_Ratio,Num_CNA_Groups,Mean_CNA_Entropy,Num_NVD_Groups,Mean_NVD_Entropy,Equal_Severity,CNA_Higher,NVD_Higher,CNA_Critical,NVD_Critical,Role,Vendor,Open Source,Researcher,Bug Bounty Provider,Hosted Service,CERT,Consortium,Country
GitHub,6592,5441,3622,1,239,0.0439,1234,0.2268,862,0.1584,717,0.1318,1275,0.2343,1211,0.2226,1225,0.2251,1322,0.243,6,6,0,12,inf,12,0.4932,12,0,3388,723,1330,250,413,CNA,1,1,1,0,0,0,0,USA
CISA-ADP,11569,4860,1248,0,345,0.071,169,0.0348,538,0.1107,287,0.0591,136,0.028,362,0.0745,305,0.0628,356,0.0733,28,52,6,74,6.641,80,0.3766,80,0.0796,4205,288,367,113,214,"Top-Level Root, ADP",,,,,,,,USA
VulDB,5884,4742,4351,3,494,0.1042,121,0.0255,2309,0.4869,106,0.0224,1116,0.2353,3896,0.8216,2709,0.5713,2870,0.6052,,,,,,,,,,806,10,3926,0,1694,CNA,0,0,1,0,0,0,0,Swizerland
Patchstack,7985,3601,3250,1,0,0,114,0.0317,153,0.0425,40,0.0111,341,0.0947,1091,0.303,1166,0.3238,2828,0.7853,22,22,15,29,1.9333,44,0.5779,44,0.3808,1955,608,1038,61,108,CNA,1,1,1,1,1,0,0,Estonia
Wordfence,5172,2132,1478,1,2,0.0009,161,0.0755,62,0.0291,957,0.4489,130,0.061,193,0.0905,204,0.0957,282,0.1323,0,4,0,4,0,4,0,4,0,1789,228,115,59,35,CNA,1,0,1,0,0,0,0,USA
Microsoft,4605,1905,702,0,96,0.0504,183,0.0961,205,0.1076,129,0.0677,111,0.0583,171,0.0898,177,0.0929,198,0.1039,207,84,160,131,2.0176,291,0.9675,291,0.6677,1593,113,199,12,59,CNA,1,0,0,0,0,0,0,USA
Cisco,2183,1757,745,0,42,0.0239,102,0.0581,120,0.0683,81,0.0461,228,0.1298,232,0.132,200,0.1138,301,0.1713,8,130,61,77,0.0777,138,0.0582,138,0.5104,1399,109,249,64,48,CNA,1,1,1,0,1,0,0,USA
ICS-CERT,1177,1073,582,1,92,0.0857,90,0.0839,143,0.1333,123,0.1146,183,0.1705,205,0.1911,208,0.1938,184,0.1715,2,6,3,5,0.5556,8,0.375,8,0.6652,766,102,205,45,115,"Root, CNA-LR",0,0,0,0,0,1,0,USA
MITRE,1160,1011,730,1,196,0.1939,153,0.1513,154,0.1523,129,0.1276,353,0.3492,184,0.182,216,0.2136,218,0.2156,7,28,10,25,0.625,35,0.2167,35,0.2603,633,191,187,87,62,"Top-Level, Root, CNA-LR, Secretariat",,,,,,,,USA
Samsung Mobile,949,872,767,2,97,0.1112,155,0.1778,452,0.5183,132,0.1514,102,0.117,259,0.297,281,0.3222,320,0.367,0,6,0,6,0,6,0,6,0,479,146,247,1,39,CNA,1,0,0,0,0,0,0,South Korea
